ranking,recipe_id,name,Q_Score_Bayesien,Pop_Weight,Final_Score,reviews_in_season,Saison
1,66947,refreshing mojito  by the pitcher mojitos,4.875494377828386,0.9999682198327409,4.875339433801588,40,Spring
2,20616,irish rosie s irish soda bread,4.867147099160763,0.9999997250495356,4.867145760936408,59,Spring
3,60506,basic mojito ingredients,4.830643876006056,0.9871435466600285,4.768538928412165,16,Spring
4,194202,pomegranate iced tea,4.820681751065236,0.9787648088914948,4.7183136528080825,14,Spring
5,122568,quick n easy strawberry and banana smoothie,4.84555089503691,0.9726974803027928,4.713255146281345,13,Spring
6,79378,slushy lemonade,4.8094743605068135,0.9787648088914948,4.707344253329995,14,Spring
7,46798,the best strawberry smoothie ever,4.706316240337876,0.9996984607363504,4.704897101204263,31,Spring
8,483803,lemonade 6 ways,4.768662272463373,0.9834789040803609,4.689878745651641,15,Spring
9,170262,strawberry  adult drink,4.681662619374158,0.9922106816137637,4.645195658654912,18,Spring
10,423618,citrus cream smoothie,4.8094743605068135,0.9648830017919481,4.640580058007224,12,Spring
11,35932,most refreshing lemonade you will ever taste    quick   easy,4.7782243605068135,0.9648830017919481,4.6104274642012255,12,Spring
12,207887,lemonade plus,4.7782243605068135,0.9648830017919481,4.6104274642012255,12,Spring
13,356040,spinach banana smoothie,4.817970697722073,0.9548090426076362,4.600241989203657,11,Spring
14,219707,mint limeade,4.646031879357244,0.9899935389359624,4.599541542254178,17,Spring
15,101141,sierra frozen fruit smoothie,4.7469743605068135,0.9648830017919481,4.580274870395227,12,Spring
16,162425,blueberry blast breakfast smoothie,4.830105984540601,0.9418065950277476,4.54902567092333,10,Spring
17,114029,dreamy martini,4.830105984540601,0.9418065950277476,4.54902567092333,10,Spring
18,88364,lemon drop martini,4.830105984540601,0.9418065950277476,4.54902567092333,10,Spring
19,121207,florida fruit smoothie,4.824247570214415,0.9418065950277476,4.543508177674522,10,Spring
20,253966,tsr version of olive garden limoncello lemonade by todd wilbur,4.811228871711779,0.9418065950277476,4.531247081566062,10,Spring
1,66947,refreshing mojito  by the pitcher mojitos,4.932030307797179,0.999999417929824,4.93202743700943,56,Summer
2,309187,raspberry iced tea,4.856248345399924,0.9963238391988244,4.838395995591791,21,Summer
3,35932,most refreshing lemonade you will ever taste    quick   easy,4.802359603586597,0.9986482904783607,4.795868208384093,25,Summer
4,207929,best fruit smoothie ever,4.802359603586597,0.9986482904783607,4.795868208384093,25,Summer
5,503642,greek iced coffee,4.8407076259837,0.9899935389359624,4.792269273601904,17,Summer
6,96003,mango shake,4.860176633182768,0.9834789040803609,4.779881188839567,15,Summer
7,162425,blueberry blast breakfast smoothie,4.856064181217555,0.9834789040803609,4.775836679087735,15,Summer
8,166675,guava mojito,4.856064181217555,0.9787648088914948,4.7529447302942325,14,Summer
9,59148,ya ya punch,4.851702489739299,0.9787648088914948,4.748675660168074,14,Summer
10,46798,the best strawberry smoothie ever,4.765952162142023,0.9939359243026696,4.737051067460938,19,Summer
11,289061,awesome orange  coconut and banana smoothie,4.780727282261024,0.9871435466600285,4.7192640850255065,16,Summer
12,20616,irish rosie s irish soda bread,4.851702489739299,0.9726974803027928,4.719238786948202,13,Summer
13,163220,kittencal s really great old fashioned lemonade,4.851702489739299,0.9726974803027928,4.719238786948202,13,Summer
14,122568,quick n easy strawberry and banana smoothie,4.851702489739299,0.9726974803027928,4.719238786948202,13,Summer
15,79378,slushy lemonade,4.821399459436269,0.9726974803027928,4.6897631057269065,13,Summer
16,304652,malibu   cranberry cocktail,4.732599517875591,0.9899935389359624,4.6852429450682855,17,Summer
17,277085,michaels hard lemonade,4.842134908432157,0.9548090426076362,4.623314196097122,11,Summer
18,187812,delightful cranberry lemonade,4.784568192543652,0.9648830017919481,4.616548519899794,12,Summer
19,170262,strawberry  adult drink,4.722068192543652,0.9648830017919481,4.5562433322877975,12,Summer
20,309526,island girl drink,4.836872738713229,0.9418065950277476,4.555398644630042,10,Summer
1,20616,irish rosie s irish soda bread,4.80815353696414,0.99777098831292,4.7974361065369715,23,Fall
2,46798,the best strawberry smoothie ever,4.7983556729283965,0.9871435466600285,4.736665837110805,16,Fall
3,59148,ya ya punch,4.821836722132173,0.9787648088914948,4.719444097843688,14,Fall
4,261718,witch s bubbly brewed punch   halloween,4.804595114596577,0.9787648088914948,4.702568619139128,14,Fall
5,100770,rice krispies chocolate dream bars,4.841951517265434,0.9648830017919481,4.671916714510149,12,Fall
6,45268,shake a pie crust,4.664922683408905,0.9787648088914948,4.565862158720316,14,Fall
7,15340,traditional eggnog,4.66474828508313,0.9787648088914948,4.565691463776317,14,Fall
8,146320,oprah s pomegranate martini,4.831414951749796,0.9418065950277476,4.550258464873624,10,Fall
9,18296,pumpkin shake,4.562626885961381,0.9939359243026696,4.534958771146237,19,Fall
10,86863,so simple punch,4.798081618416463,0.9418065950277476,4.518864911706033,10,Fall
11,65347,mocha latte smoothie,4.825601674223927,0.9249973513959593,4.46366876754904,9,Fall
12,19817,7 up cranberry punch,4.731414951749796,0.9418065950277476,4.4560778053708505,10,Fall
13,122568,quick n easy strawberry and banana smoothie,4.731414951749796,0.9418065950277476,4.4560778053708505,10,Fall
14,88364,lemon drop martini,4.7122303054462105,0.9418065950277476,4.438009578958859,10,Fall
15,41039,easy concord grape juice,4.783658876874782,0.9249973513959593,4.4248717910909425,9,Fall
16,66947,refreshing mojito  by the pitcher mojitos,4.783658876874782,0.9249973513959593,4.4248717910909425,9,Fall
17,192148,icy pumpkin smoothie,4.66474828508313,0.9418065950277476,4.393290699035667,10,Fall
18,96989,san francisco marriott s pink punch,4.722153398361858,0.9249973513959593,4.367979386370147,9,Fall
19,146741,hot lemonade with rum,4.812683279721996,0.9032197311961978,4.346910498242937,8,Fall
20,139459,cinnamon   ouzo iced tea,4.687670639741168,0.9249973513959593,4.336082925977183,9,Fall
1,20616,irish rosie s irish soda bread,4.8821176470588235,1.0,4.8821176470588235,187,Winter
2,160379,traditional irish soda bread,4.8175219023779725,0.9993615952790776,4.8144463736523475,28,Winter
3,103643,real irish soda bread,4.733986928104574,0.9922106816137637,4.697112396685287,18,Winter
4,46798,the best strawberry smoothie ever,4.714149443561208,0.9952786561352936,4.691892323008542,20,Winter
5,146320,oprah s pomegranate martini,4.777162629757785,0.9787648088914948,4.675718668358469,14,Winter
6,19817,7 up cranberry punch,4.733986928104574,0.9871435466600285,4.673124646051362,16,Winter
7,356040,spinach banana smoothie,4.770409982174687,0.9787648088914948,4.669109414537287,14,Winter
8,122568,quick n easy strawberry and banana smoothie,4.78785578747628,0.9648830017919481,4.6197206643670645,12,Winter
9,88364,lemon drop martini,4.731985294117647,0.9726974803027928,4.602790172418104,13,Winter
