ranking,recipe_id,name,Q_Score_Bayesien,Pop_Weight,Final_Score,reviews_in_season,Saison
1,2886,best banana bread,4.8016115800915005,0.9999007319425427,4.801134933437281,376,Spring
2,32204,whatever floats your boat  brownies,4.805031867106818,0.9989591995599201,4.8000307878249355,282,Spring
3,67256,best ever banana cake with cream cheese frosting,4.768512196120872,0.9998725375906601,4.767904390067388,366,Spring
4,26110,southern buttermilk biscuits,4.759600392723638,0.9921192876044914,4.722091350911033,201,Spring
5,43509,crumb topped banana muffins,4.859423583293982,0.9673017842957651,4.700529102769189,144,Spring
6,73825,why i joined zaar carrot cake,4.800123380856109,0.972539014640636,4.668307262971278,151,Spring
7,5170,pete s scratch pancakes,4.685699969762019,0.9870124705011083,4.624844303181779,181,Spring
8,2496,dark chocolate cake,4.78818094062773,0.955905076085109,4.577046466360019,132,Spring
9,89207,kittencal s chocolate frosting icing,4.812294436881229,0.9488003721537185,4.565906752626179,126,Spring
10,25885,banana banana bread,4.597710330978097,0.991715515172929,4.559620669501841,199,Spring
11,76864,tsr 1993 version of cinnabon cinnamon rolls by todd wilbur,4.776007431468404,0.9512869501050203,4.54335354316049,128,Spring
12,97496,soft snickerdoodle cookies,4.730479174581474,0.958047888707777,4.532025585783889,134,Spring
13,77397,kittencal s 5 minute cinnamon flop brunch cake,4.610974176812228,0.9801458946985523,4.519427409963542,164,Spring
14,29679,reeses squares   5 ingredients   no bake  reese s,4.761774959741293,0.93268846287086,4.441252567738058,115,Spring
15,90674,denny s style french toast,4.826244056369579,0.9178923915556041,4.429972699132093,107,Spring
16,121490,strawberries   cream bread  strawberry or blueberry,4.7772608016596525,0.9256551045604097,4.422095846872613,111,Spring
17,69630,white almond sour cream wedding cake,4.796339446340778,0.9158291944391781,4.392627691399128,106,Spring
18,24672,the ultimate strawberry shortcake,4.748586748902531,0.91371457128053,4.338852905461882,105,Spring
19,26370,the only chocolate cake recipe you ll ever need   devil s food,4.726865174382002,0.9178923915556041,4.338753579474393,107,Spring
20,66596,kittencal s famous greek salad,4.818346058931833,0.8998742564059826,4.3359055768879795,99,Spring
1,29679,reeses squares   5 ingredients   no bake  reese s,4.840819521947629,0.9903758830312984,4.794230908644031,193,Summer
2,32204,whatever floats your boat  brownies,4.791093626758551,0.9987601709934246,4.785153489906877,275,Summer
3,2886,best banana bread,4.783198295377555,0.9999772894352844,4.783089666243121,435,Summer
4,67256,best ever banana cake with cream cheese frosting,4.7672816568678025,0.9997433249922786,4.7660580148117155,338,Summer
5,43509,crumb topped banana muffins,4.824372482391149,0.9704056076172389,4.68159811014667,148,Summer
6,25885,banana banana bread,4.697248948955333,0.990613316366666,4.653157359124479,194,Summer
