ranking,recipe_id,name,Q_Score_Bayesien,Pop_Weight,Final_Score,reviews_in_season,Saison
1,39087,creamy cajun chicken pasta,4.826408936553203,0.9989734933089072,4.82145459548588,332,Spring
2,69173,kittencal s italian melt in your mouth meatballs,4.854354749869929,0.9931838506002925,4.821266742655635,243,Spring
3,28148,oven fried chicken chimichangas,4.830588490527011,0.9862527251006389,4.764181062622046,210,Spring
4,107786,beth s melt in your mouth barbecue ribs  oven,4.843352723279817,0.9794158921741852,4.743656628585372,191,Spring
5,22782,jo mama s world famous spaghetti,4.7419870557741355,0.9970262351813864,4.7278855014973535,282,Spring
6,87782,greek potatoes  oven roasted and delicious,4.7462088884926,0.9771098389465013,4.637567402641457,186,Spring
7,82102,kittencal s moist cheddar garlic oven fried chicken breast,4.719512810602545,0.980272009212013,4.626406305351191,193,Spring
8,63689,my family s favorite sloppy joes  pizza joes,4.745138039920839,0.9739998296058874,4.621763642339311,180,Spring
9,33919,creamy burrito casserole,4.64451720971255,0.9906232890468695,4.600966914320235,228,Spring
10,54257,yes  virginia there is a great meatloaf,4.6138082745435485,0.9961615229573922,4.596098277402719,270,Spring
11,99476,the best easy beef and broccoli stir fry,4.654817434213277,0.9850330515396424,4.5851490215830335,206,Spring
12,33671,crock pot whole chicken,4.752767201209439,0.961906220439811,4.57171633514567,162,Spring
13,27208,to die for crock pot roast,4.585707190873412,0.9968302833825604,4.571171798587788,279,Spring
14,68955,japanese mum s chicken,4.618242264111174,0.9856558301843513,4.551997412824957,208,Spring
15,135350,fannie farmer s classic baked macaroni   cheese,4.70089061018576,0.9664585998468845,4.543216157153497,168,Spring
16,129926,simply sour cream chicken enchiladas,4.6692210062446105,0.972872159092303,4.542555121624329,178,Spring
17,8701,should be illegal oven bbq ribs,4.759379266300703,0.9392854288389701,4.470415595154559,140,Spring
18,66121,p  f  chang s mongolian beef by todd wilbur,4.741349295608579,0.9405570083574858,4.459509309055478,141,Spring
19,38298,olive garden copycat zuppa toscana,4.823582671130554,0.923381836432166,4.4540086250509034,129,Spring
20,89204,crock pot chicken with black beans   cream cheese,4.456275666988037,0.9992850299853706,4.453089563509218,349,Spring
1,9272,wonderful salsa,4.844369398372882,0.9977921474055543,4.833673744828231,296,Summer
2,39087,creamy cajun chicken pasta,4.815726086845107,0.9978841114338085,4.805536547080041,298,Summer
3,107786,beth s melt in your mouth barbecue ribs  oven,4.886132876801731,0.983355398085101,4.804805140164065,201,Summer
4,69173,kittencal s italian melt in your mouth meatballs,4.851090734263696,0.9859574449682282,4.7829690256636805,209,Summer
5,54257,yes  virginia there is a great meatloaf,4.738185946290932,0.9946055473715311,4.712626026658788,254,Summer
6,63689,my family s favorite sloppy joes  pizza joes,4.797728561172385,0.9780616871009855,4.692474490792847,188,Summer
7,27208,to die for crock pot roast,4.688103065121017,0.9993707125337822,4.685152900621799,355,Summer
8,22782,jo mama s world famous spaghetti,4.674137420161356,0.9948301858925932,4.649972998586648,256,Summer
9,28148,oven fried chicken chimichangas,4.758473302333646,0.972872159092303,4.629386195624415,178,Summer
10,82102,kittencal s moist cheddar garlic oven fried chicken breast,4.740509353144566,0.972872159092303,4.611909569591011,178,Summer
11,129926,simply sour cream chicken enchiladas,4.706395128831564,0.9794158921741852,4.609518184028805,191,Summer
12,33671,crock pot whole chicken,4.814907970825524,0.9548649337724179,4.597586780682601,154,Summer
13,68955,japanese mum s chicken,4.654773946340027,0.9865418033142457,4.592129083042458,211,Summer
14,89204,crock pot chicken with black beans   cream cheese,4.569055858022123,0.9989734933089072,4.564365691611886,332,Summer
15,131018,pulled pork  crock pot,4.80325495456044,0.9498204476733448,4.562229771229809,149,Summer
16,33919,creamy burrito casserole,4.653728979282037,0.9739998296058874,4.532731232852684,180,Summer
17,99476,the best easy beef and broccoli stir fry,4.646802068196149,0.961906220439811,4.469787814550455,162,Summer
18,135350,fannie farmer s classic baked macaroni   cheese,4.684103541699545,0.9529107658570701,4.463532693274728,152,Summer
19,27210,best grilled pork chops,4.679044356001956,0.9529107658570701,4.458711740757026,152,Summer
20,66121,p  f  chang s mongolian beef by todd wilbur,4.706808254052826,0.9405570083574858,4.427021490344248,141,Summer
1,150863,panera s cream cheese potato soup,4.828326887246074,0.9951497334286783,4.80490821474945,259,Fall
2,10744,delicious chicken pot pie,4.83430126668369,0.9938713819587751,4.804673680723976,248,Fall
3,39087,creamy cajun chicken pasta,4.783535721603768,0.9985876171700074,4.776779537883919,317,Fall
4,69173,kittencal s italian melt in your mouth meatballs,4.814223038868244,0.9913877399192477,4.77276169797076,232,Fall
5,4627,chicken tortilla soup ii,4.819648270375611,0.9884022794893943,4.76375133677637,218,Fall
6,486261,mexican stack up  rsc,4.904686171965794,0.9710885204053026,4.762884437786611,175,Fall
7,38298,olive garden copycat zuppa toscana,4.809645980380874,0.980686643325634,4.716755572084348,194,Fall
